
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 10-Feb-2026 at 09:55:27.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.8200   1.3257412E+07   1.3283259E+07   1.3671975E+07   1.3667946E+07   1.3207385E+07   1.3185567E+07   1.3277245E+07   1.3301865E+07   1.3705573E+07   1.3703613E+07   1.3264942E+07   1.3242283E+07
    0.8300   1.3261807E+07   1.3287473E+07   1.3660074E+07   1.3655323E+07   1.3197999E+07   1.3177085E+07   1.3290810E+07   1.3314989E+07   1.3688288E+07   1.3685061E+07   1.3254226E+07   1.3233274E+07
    0.8400   1.3265967E+07   1.3291467E+07   1.3648500E+07   1.3643041E+07   1.3188669E+07   1.3168628E+07   1.3304688E+07   1.3328494E+07   1.3671495E+07   1.3666942E+07   1.3242760E+07   1.3223507E+07
    0.8500   1.3269852E+07   1.3295212E+07   1.3637349E+07   1.3631194E+07   1.3179309E+07   1.3160105E+07   1.3318457E+07   1.3341961E+07   1.3655395E+07   1.3649485E+07   1.3230672E+07   1.3213079E+07
    0.8600   1.3273448E+07   1.3298704E+07   1.3626707E+07   1.3619863E+07   1.3169831E+07   1.3151420E+07   1.3331687E+07   1.3354965E+07   1.3640178E+07   1.3632910E+07   1.3218117E+07   1.3202106E+07
    0.8700   1.3276753E+07   1.3301949E+07   1.3616654E+07   1.3609123E+07   1.3160142E+07   1.3142477E+07   1.3343961E+07   1.3367090E+07   1.3626017E+07   1.3617423E+07   1.3205257E+07   1.3190722E+07
    0.8800   1.3279780E+07   1.3304970E+07   1.3607256E+07   1.3599034E+07   1.3150157E+07   1.3133189E+07   1.3354896E+07   1.3377957E+07   1.3613067E+07   1.3603205E+07   1.3192258E+07   1.3179059E+07
    0.8900   1.3282545E+07   1.3307790E+07   1.3598572E+07   1.3589651E+07   1.3139797E+07   1.3123474E+07   1.3364161E+07   1.3387233E+07   1.3601460E+07   1.3590416E+07   1.3179266E+07   1.3167239E+07
    0.9000   1.3285075E+07   1.3310441E+07   1.3590649E+07   1.3581014E+07   1.3129000E+07   1.3113270E+07   1.3371492E+07   1.3394654E+07   1.3591302E+07   1.3579180E+07   1.3166407E+07   1.3155366E+07
    0.9100   1.3287389E+07   1.3312947E+07   1.3583524E+07   1.3573156E+07   1.3117719E+07   1.3102529E+07   1.3376703E+07   1.3400036E+07   1.3582668E+07   1.3569590E+07   1.3153771E+07   1.3143516E+07
    0.9200   1.3289506E+07   1.3315329E+07   1.3577225E+07   1.3566104E+07   1.3105930E+07   1.3091227E+07   1.3379699E+07   1.3403282E+07   1.3575607E+07   1.3561699E+07   1.3141409E+07   1.3131733E+07
    0.9300   1.3291432E+07   1.3317596E+07   1.3571769E+07   1.3559875E+07   1.3093630E+07   1.3079361E+07   1.3380477E+07   1.3404392E+07   1.3570132E+07   1.3555525E+07   1.3129333E+07   1.3120026E+07
    0.9400   1.3293166E+07   1.3319745E+07   1.3567167E+07   1.3554479E+07   1.3080842E+07   1.3066951E+07   1.3379126E+07   1.3403453E+07   1.3566229E+07   1.3551044E+07   1.3117512E+07   1.3108371E+07
    0.9500   1.3294694E+07   1.3321759E+07   1.3563418E+07   1.3549921E+07   1.3067607E+07   1.3054039E+07   1.3375823E+07   1.3400643E+07   1.3563854E+07   1.3548200E+07   1.3105878E+07   1.3096712E+07
    0.9600   1.3295992E+07   1.3323612E+07   1.3560520E+07   1.3546201E+07   1.3053990E+07   1.3040688E+07   1.3370818E+07   1.3396213E+07   1.3562934E+07   1.3546902E+07   1.3094332E+07   1.3084969E+07
    0.9700   1.3297027E+07   1.3325266E+07   1.3558454E+07   1.3543308E+07   1.3040070E+07   1.3026977E+07   1.3364423E+07   1.3390475E+07   1.3563375E+07   1.3547033E+07   1.3082756E+07   1.3073046E+07
    0.9800   1.3297763E+07   1.3326678E+07   1.3557205E+07   1.3541234E+07   1.3025944E+07   1.3013000E+07   1.3356996E+07   1.3383786E+07   1.3565063E+07   1.3548453E+07   1.3071018E+07   1.3060838E+07
    0.9900   1.3298157E+07   1.3327799E+07   1.3556744E+07   1.3539957E+07   1.3011713E+07   1.2998857E+07   1.3348916E+07   1.3376525E+07   1.3567866E+07   1.3551003E+07   1.3058988E+07   1.3048243E+07
    1.0000   1.3298170E+07   1.3328582E+07   1.3557041E+07   1.3539458E+07   1.2997486E+07   1.2984657E+07   1.3340570E+07   1.3369074E+07   1.3571646E+07   1.3554517E+07   1.3046547E+07   1.3035172E+07
    1.0100   1.3297766E+07   1.3328984E+07   1.3558064E+07   1.3539709E+07   1.2983372E+07   1.2970508E+07   1.3332329E+07   1.3361801E+07   1.3576253E+07   1.3558824E+07   1.3033599E+07   1.3021557E+07
    1.0200   1.3296914E+07   1.3328967E+07   1.3559774E+07   1.3540683E+07   1.2969474E+07   1.2956513E+07   1.3324531E+07   1.3355038E+07   1.3581541E+07   1.3563753E+07   1.3020081E+07   1.3007362E+07
    1.0300   1.3295593E+07   1.3328501E+07   1.3562140E+07   1.3542351E+07   1.2955888E+07   1.2942768E+07   1.3317464E+07   1.3349066E+07   1.3587363E+07   1.3569142E+07   1.3005968E+07   1.2992587E+07
    1.0400   1.3293790E+07   1.3327570E+07   1.3565123E+07   1.3544684E+07   1.2942696E+07   1.2929356E+07   1.3311358E+07   1.3344104E+07   1.3593581E+07   1.3574843E+07   1.2991281E+07   1.2977272E+07
    1.0500   1.3291504E+07   1.3326165E+07   1.3568697E+07   1.3547657E+07   1.2929969E+07   1.2916349E+07   1.3306370E+07   1.3340299E+07   1.3600066E+07   1.3580724E+07   1.2976088E+07   1.2961501E+07
    1.0600   1.3288740E+07   1.3324287E+07   1.3572834E+07   1.3551244E+07   1.2917755E+07   1.2903797E+07   1.3302584E+07   1.3337721E+07   1.3606705E+07   1.3586672E+07   1.2960503E+07   1.2945399E+07
    1.0700   1.3285517E+07   1.3321953E+07   1.3577514E+07   1.3555429E+07   1.2906086E+07   1.2891735E+07   1.3300005E+07   1.3336362E+07   1.3613403E+07   1.3592602E+07   1.2944683E+07   1.2929127E+07
    1.0800   1.3281854E+07   1.3319181E+07   1.3582726E+07   1.3560198E+07   1.2894977E+07   1.2880178E+07   1.3298567E+07   1.3336143E+07   1.3620085E+07   1.3598454E+07   1.2928822E+07   1.2912878E+07
    1.0900   1.3277784E+07   1.3316004E+07   1.3588462E+07   1.3565542E+07   1.2884420E+07   1.2869120E+07   1.3298133E+07   1.3336911E+07   1.3626699E+07   1.3604194E+07   1.2913139E+07   1.2896867E+07
